,season,conference,division,team name
480,1987,AFC,AFC East,MIA
481,1987,AFC,AFC East,BUF
482,1987,AFC,AFC East,NYJ
483,1987,AFC,AFC Central,CLE
484,1987,AFC,AFC Central,TEN
485,1987,AFC,AFC Central,PIT
486,1987,AFC,AFC Central,CIN
487,1987,AFC,AFC West,DEN
488,1987,AFC,AFC West,SEA
489,1987,AFC,AFC West,LAC
490,1987,AFC,AFC West,OAK
491,1987,AFC,AFC West,KC
492,1988,NFC,NFC East,PHI
493,1988,NFC,NFC East,NYG
494,1988,NFC,NFC East,WSH
495,1988,NFC,NFC East,ARI
496,1988,NFC,NFC East,DAL
497,1988,NFC,NFC Central,CHI
498,1988,NFC,NFC Central,MIN
499,1988,NFC,NFC Central,TB
500,1988,NFC,NFC Central,DET
501,1988,NFC,NFC Central,GB
502,1988,NFC,NFC West,SF
503,1988,NFC,NFC West,LAR
504,1988,NFC,NFC West,NO
505,1988,NFC,NFC West,ATL
506,1988,AFC,AFC East,BUF
507,1988,AFC,AFC East,IND
508,1988,AFC,AFC East,NE
509,1988,AFC,AFC East,NYJ
510,1988,AFC,AFC East,MIA
511,1988,AFC,AFC Central,CIN
512,1988,AFC,AFC Central,CLE
513,1988,AFC,AFC Central,TEN
514,1988,AFC,AFC Central,PIT
515,1988,AFC,AFC West,SEA
516,1988,AFC,AFC West,DEN
517,1988,AFC,AFC West,OAK
518,1988,AFC,AFC West,LAC
519,1988,AFC,AFC West,KC
520,1989,NFC,NFC East,NYG
521,1989,NFC,NFC East,PHI
522,1989,NFC,NFC East,WSH
523,1989,NFC,NFC East,ARI
524,1989,NFC,NFC East,DAL
525,1989,NFC,NFC Central,MIN
526,1989,NFC,NFC Central,GB
527,1989,NFC,NFC Central,DET
528,1989,NFC,NFC Central,CHI
529,1989,NFC,NFC Central,TB
530,1989,NFC,NFC West,SF
531,1989,NFC,NFC West,LAR
532,1989,NFC,NFC West,NO
533,1989,NFC,NFC West,ATL
534,1989,AFC,AFC East,BUF
535,1989,AFC,AFC East,IND
536,1989,AFC,AFC East,MIA
537,1989,AFC,AFC East,NE
538,1989,AFC,AFC East,NYJ
539,1989,AFC,AFC Central,CLE
540,1989,AFC,AFC Central,TEN
541,1989,AFC,AFC Central,PIT
542,1989,AFC,AFC Central,CIN
543,1989,AFC,AFC West,DEN
544,1989,AFC,AFC West,KC
545,1989,AFC,AFC West,OAK
546,1989,AFC,AFC West,SEA
547,1989,AFC,AFC West,LAC
548,1990,NFC,NFC East,NYG
549,1990,NFC,NFC East,PHI
550,1990,NFC,NFC East,WSH
551,1990,NFC,NFC East,DAL
552,1990,NFC,NFC East,ARI
553,1990,NFC,NFC Central,CHI
554,1990,NFC,NFC Central,TB
555,1990,NFC,NFC Central,DET
556,1990,NFC,NFC Central,GB
557,1990,NFC,NFC Central,MIN
558,1990,NFC,NFC West,SF
559,1990,NFC,NFC West,NO
560,1990,NFC,NFC West,LAR
561,1990,NFC,NFC West,ATL
562,1990,AFC,AFC East,BUF
563,1990,AFC,AFC East,MIA
564,1990,AFC,AFC East,IND
565,1990,AFC,AFC East,NYJ
566,1990,AFC,AFC East,NE
567,1990,AFC,AFC Central,CIN
568,1990,AFC,AFC Central,TEN
569,1990,AFC,AFC Central,PIT
570,1990,AFC,AFC Central,CLE
571,1990,AFC,AFC West,OAK
572,1990,AFC,AFC West,KC
573,1990,AFC,AFC West,SEA
574,1990,AFC,AFC West,LAC
575,1990,AFC,AFC West,DEN
576,1991,NFC,NFC East,WSH
577,1991,NFC,NFC East,DAL
578,1991,NFC,NFC East,PHI
579,1991,NFC,NFC East,NYG
580,1991,NFC,NFC East,ARI
581,1991,NFC,NFC Central,DET
582,1991,NFC,NFC Central,CHI
583,1991,NFC,NFC Central,MIN
584,1991,NFC,NFC Central,GB
585,1991,NFC,NFC Central,TB
586,1991,NFC,NFC West,NO
587,1991,NFC,NFC West,ATL
588,1991,NFC,NFC West,SF
589,1991,NFC,NFC West,LAR
590,1991,AFC,AFC East,BUF
591,1991,AFC,AFC East,NYJ
592,1991,AFC,AFC East,MIA
593,1991,AFC,AFC East,NE
594,1991,AFC,AFC East,IND
595,1991,AFC,AFC Central,TEN
596,1991,AFC,AFC Central,PIT
597,1991,AFC,AFC Central,CLE
598,1991,AFC,AFC Central,CIN
599,1991,AFC,AFC West,DEN
600,1991,AFC,AFC West,KC
601,1991,AFC,AFC West,OAK
602,1991,AFC,AFC West,SEA
603,1991,AFC,AFC West,LAC
604,1992,NFC,NFC East,DAL
605,1992,NFC,NFC East,PHI
